accident_index,accident_y,speed_limit,vehicle_type,date,day_of_week,accident_severity,road_type,longitude,latitude,number_of_vehicles,time,geometry
2019010156659,2019,30,1,10/01/2019,5,3,1,-0.01302,51.381087,2,07:30:00.000,POINT (538374.8907037498 166544.0069260473)
2019010156661,2019,30,1,10/01/2019,5,3,6,0.165794,51.543075,2,08:40:00.000,POINT (550284.9273487082 184909.1962700655)
2019010156663,2019,20,1,10/01/2019,5,3,6,-0.039262,51.529865,2,07:30:00.000,POINT (536105.8865102604 183039.1424593975)
2019010156676,2019,30,1,10/01/2019,5,3,6,-0.17268,51.541076,2,08:20:00.000,POINT (526820.7600670017 184046.2977466361)
2019010156684,2019,30,1,10/01/2019,5,3,3,0.096915,51.521458,2,07:28:00.000,POINT (545577.8636616365 182366.2076587518)
2019010156696,2019,30,1,02/01/2019,4,3,6,-0.11653,51.487149,2,11:30:00.000,POINT (530868.776069009 178148.1869082747)
2019010156704,2019,20,1,10/01/2019,5,2,6,-0.11475,51.521203,2,09:10:00.000,POINT (530894.8116463856 181938.2807683429)
2019010156704,2019,20,1,10/01/2019,5,2,6,-0.11475,51.521203,2,09:10:00.000,POINT (530894.8116463856 181938.2807683429)
2019010156765,2019,20,1,10/01/2019,5,3,6,-0.036326,51.486858,2,10:15:00.000,POINT (536437.8505219943 178262.1353579523)
2019010156775,2019,20,1,10/01/2019,5,2,6,-0.114789,51.57051,2,13:10:00.000,POINT (530750.7939591055 187421.341177865)
2019010156776,2019,30,1,10/01/2019,5,2,3,-0.173865,51.516517,1,14:00:00.000,POINT (526806.7488977796 181313.1761445704)
2019010156778,2019,30,1,10/01/2019,5,2,6,0.029659,51.525447,2,14:58:00.000,POINT (540899.8714533083 182678.2202347023)
2019010156807,2019,30,1,10/01/2019,5,2,2,-0.189052,51.510107,2,20:01:00.000,POINT (525770.6856742491 180574.1717149526)
2019010156816,2019,30,1,10/01/2019,5,3,6,-0.387654,51.509606,2,12:15:00.000,POINT (511990.4301462905 180196.163109392)
2019010156852,2019,30,1,10/01/2019,5,3,6,-0.187556,51.441722,2,22:58:00.000,POINT (526062.7302230775 172972.0753225497)
2019010156856,2019,20,1,10/01/2019,5,3,6,-0.068765,51.47389,2,23:30:00.000,POINT (534223.786750894 176760.1558877656)
2019010156882,2019,30,1,11/01/2019,6,3,6,-0.172864,51.448931,3,07:38:00.000,POINT (527063.7622769892 173799.1011322977)
2019010156883,2019,20,1,09/01/2019,4,3,6,-0.109799,51.527984,2,18:40:00.000,POINT (531218.8030383171 182701.2121718546)
2019010156883,2019,20,1,09/01/2019,4,3,6,-0.109799,51.527984,2,18:40:00.000,POINT (531218.8030383171 182701.2121718546)
2019010156941,2019,20,1,09/01/2019,4,3,9,-0.178907,51.497819,2,10:00:00.000,POINT (526508.6619690447 179225.1639310134)
2019010156959,2019,20,1,11/01/2019,6,3,6,-0.081048,51.566806,2,14:00:00.000,POINT (533099.8193606596 187070.2637600172)
2019010156967,2019,30,1,10/01/2019,5,3,6,-0.20888,51.652933,2,18:30:00.000,POINT (524005.6998532491 196423.3965832095)
2019010156991,2019,20,1,10/01/2019,5,3,3,-0.266705,51.464752,2,08:30:00.000,POINT (520501.5980401582 175399.9988338795)
2019010157009,2019,20,1,11/01/2019,6,3,2,-0.12788,51.517051,1,17:35:00.000,POINT (529995.7410484334 181453.1772466482)
2019010157038,2019,20,1,11/01/2019,6,3,1,-0.114438,51.59643,2,21:52:00.000,POINT (530700.7791617941 190304.3895809471)
2019010157060,2019,30,1,11/01/2019,6,3,6,-0.156772,51.397501,2,18:05:00.000,POINT (528325.7693425664 168107.9762294651)
2019010157122,2019,30,1,11/01/2019,6,3,6,-0.053675,51.426481,2,20:18:00.000,POINT (535411.811952588 171515.9577896675)
2019010157155,2019,30,1,12/01/2019,7,3,6,-0.3618,51.439286,2,18:38:00.000,POINT (513959.4795198068 172415.9975889027)
2019010157165,2019,20,1,12/01/2019,7,3,6,-0.025006,51.53245,2,20:55:00.000,POINT (537086.9253902535 183353.1963402313)
2019010157170,2019,30,1,12/01/2019,7,3,6,-0.254451,51.492727,2,14:47:00.000,POINT (521278.6128473658 178531.1655084806)
2019010157196,2019,30,1,12/01/2019,7,3,6,-0.168779,51.518992,2,23:50:00.000,POINT (527152.7371718398 181597.2243066712)
2019010157219,2019,30,1,12/01/2019,7,3,1,0.126067,51.415337,2,12:48:00.000,POINT (547942.835199345 170624.0297855669)
2019010157224,2019,30,1,13/01/2019,1,3,6,-0.258886,51.451175,2,08:45:00.000,POINT (521080.6061221029 173903.0601893904)
2019010157225,2019,30,1,13/01/2019,1,2,6,-0.171309,51.641401,2,09:47:00.000,POINT (526636.7515436481 195205.3621139027)
2019010157238,2019,40,1,13/01/2019,1,3,3,0.0893,51.42402,2,12:00:00.000,POINT (545358.7867567479 171516.0315316495)
2019010157265,2019,30,1,13/01/2019,1,3,6,-0.24032,51.574555,2,13:30:00.000,POINT (522040.7125967671 187654.3676782061)
2019010157270,2019,20,1,10/01/2019,5,3,6,-0.06114,51.514114,2,00:00:00.000,POINT (534634.8323301576 181247.148262692)
2019010157279,2019,30,1,13/01/2019,1,3,6,-0.079941,51.489955,2,14:58:00.000,POINT (533400.8105537494 178526.2093530896)
2019010157343,2019,30,1,14/01/2019,2,3,2,-0.150698,51.517018,2,07:45:00.000,POINT (528412.7060587108 181409.2536747594)
2019010157404,2019,30,1,14/01/2019,2,2,3,-0.192564,51.411457,2,06:49:00.000,POINT (525797.7150726875 169597.9197567775)
2019010157410,2019,20,1,14/01/2019,2,3,6,-0.106737,51.548276,2,08:25:00.000,POINT (531372.7964713487 184963.2478258386)
2019010157413,2019,30,1,17/01/2019,5,3,9,-0.069097,51.594514,1,13:30:00.000,POINT (533846.7004337959 190173.3013179796)
2019010157430,2019,20,1,14/01/2019,2,2,6,-0.109953,51.548283,2,08:05:00.000,POINT (531149.8017955314 184958.2598637813)
2019010157447,2019,20,1,14/01/2019,2,2,6,-0.269301,51.508369,2,15:15:00.000,POINT (520206.6185194846 180246.1627177568)
2019010157458,2019,30,1,14/01/2019,2,3,6,-0.087355,51.52379,2,05:13:00.000,POINT (532787.7925435005 182275.283511586)
2019010157495,2019,30,1,14/01/2019,2,3,6,-0.068001,51.412878,2,18:30:00.000,POINT (534455.7862523852 169976.931500043)
2019010157503,2019,30,1,14/01/2019,2,3,6,-0.071992,51.446182,2,17:46:00.000,POINT (534080.80189951 173673.0702980735)
2019010157567,2019,30,1,15/01/2019,3,3,6,-0.123427,51.44931,2,08:42:00.000,POINT (530497.7758413854 173928.0918832269)
2019010157584,2019,30,1,15/01/2019,3,3,9,-0.225721,51.513995,2,12:15:00.000,POINT (523215.6758787547 180944.2128018921)
2019010157640,2019,20,1,15/01/2019,3,3,6,-0.10979,51.550115,2,15:50:00.000,POINT (531155.8384320771 185162.2773869453)
2019010157654,2019,20,1,15/01/2019,3,2,6,-0.296174,51.450068,2,14:00:00.000,POINT (518492.6268982055 173719.0336299963)
2019010157666,2019,20,1,15/01/2019,3,3,6,-0.096983,51.502741,2,15:59:00.000,POINT (532180.7663475806 179917.155498902)
2019010157693,2019,30,1,15/01/2019,3,3,6,-0.304473,51.461878,2,20:10:00.000,POINT (517885.5796054129 175018.9838528485)
2019010157705,2019,20,1,15/01/2019,3,3,6,-0.196459,51.480195,2,20:30:00.000,POINT (525338.6539367012 177235.1407142954)
2019010157713,2019,30,1,15/01/2019,3,3,6,0.080515,51.450688,2,18:45:00.000,POINT (544663.8294845282 174464.1103485214)
2019010157732,2019,30,1,15/01/2019,3,2,6,-0.145106,51.461256,1,07:08:00.000,POINT (528957.7986079451 175218.1516422862)
2019010157734,2019,30,1,14/01/2019,2,3,2,-0.352611,51.471134,2,17:40:00.000,POINT (514518.4676659676 175971.9907739833)
2019010157736,2019,30,1,08/01/2019,3,3,3,-0.086107,51.574514,2,06:46:00.000,POINT (532726.7731018369 187918.2349488953)
2019010157754,2019,20,1,16/01/2019,4,3,6,-0.040602,51.471129,2,08:05:00.000,POINT (536187.7963986137 176505.0899670108)
2019010157762,2019,30,1,16/01/2019,4,3,6,-0.363496,51.502113,2,07:25:00.000,POINT (513685.4783108658 179400.0977708925)
2019010157764,2019,30,1,16/01/2019,4,3,2,-0.191612,51.458907,2,07:50:00.000,POINT (525733.6761471248 174876.1386001926)
2019010157790,2019,20,1,16/01/2019,4,3,6,-0.042074,51.548662,2,08:00:00.000,POINT (535854.8998317671 185124.1964636809)
2019010157828,2019,30,1,16/01/2019,4,3,6,-0.114153,51.523459,2,10:19:00.000,POINT (530929.7623297548 182190.2230307208)
2019010157844,2019,30,1,16/01/2019,4,3,6,-0.122413,51.50629,1,17:20:00.000,POINT (530405.7455078339 180266.2351244581)
2019010157849,2019,30,1,16/01/2019,4,3,6,-0.404739,51.45361,2,17:20:00.000,POINT (510940.496997924 173943.0592686594)
2019010157892,2019,30,1,16/01/2019,4,3,6,-0.096038,51.598299,2,18:12:00.000,POINT (531969.7417239191 190545.263871133)
2019010157897,2019,30,1,16/01/2019,4,2,3,-0.197549,51.399133,1,18:51:00.000,POINT (525484.7523882787 168218.920834759)
